A02	Other Salmonella infections-
I604	Subarachnoid haemorrhage from basilar artery4
I606	Subarachnoid haemorrhage from other intracranial arteries4
I607	Subarachnoid haemorrhage from intracranial artery, unspecified24
I608	Other subarachnoid haemorrhage4
I609	Subarachnoid haemorrhage, unspecified171
I61	Intracerebral haemorrhage-
I610	Intracerebral haemorrhage in hemisphere, subcortical1
I611	Intracerebral haemorrhage in hemisphere, cortical4
I612	Intracerebral haemorrhage in hemisphere, unspecified1
I613	Intracerebral haemorrhage in brain stem12
I614	Intracerebral haemorrhage in cerebellum10
I615	Intracerebral haemorrhage, intraventricular11
I616	Intracerebral haemorrhage, multiple localised1
I618	Other intracerebral haemorrhage8
I619	Intracerebral haemorrhage, unspecified272
I62	Other nontraumatic intracranial haemorrhage-
I620	Subdural haemorrhage (acute) (nontraumatic)28
I629	Intracranial haemorrhage (nontraumatic), unspecified86
I63	Cerebral infarction-
I630	Cerebral infarction due to thrombosis of precerebral arteries7
I631	Cerebral infarction due to embolism of precerebral arteries1
I632	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries5
I633	Cerebral infarction due to thrombosis of cerebral arteries5
I634	Cerebral infarction due to embolism of cerebral arteries7
I635	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries1
I638	Other cerebral infarction1
I639	Cerebral infarction, unspecified123
I64	Stroke, not specified as haemorrhage or infarction350
I67	Other cerebrovascular diseases-
I671	Cerebral aneurysm, nonruptured11
I677	Cerebral arteritis, not elsewhere classified3
I678	Other specified cerebrovascular diseases5
I679	Cerebrovascular disease, unspecified69
I69	Sequelae of cerebrovascular disease-
I690	Sequelae of subarachnoid haemorrhage2
I691	Sequelae of intracerebral haemorrhage1
I693	Sequelae of cerebral infarction3
I694	Sequelae of stroke, not specified as haemorrhage or infarction7
I698	Sequelae of other and unspecified cerebrovascular diseases13
I70	Atherosclerosis-
I700	Atherosclerosis of aorta2
I709	Generalised and unspecified atherosclerosis3
I71	Aortic aneurysm and dissection-
I710	Dissection of aorta [any part]132
I711	Thoracic aortic aneurysm, ruptured16
I712	Thoracic aortic aneurysm, without mention of rupture3
I713	Abdominal aortic aneurysm, ruptured98
I714	Abdominal aortic aneurysm, without mention of rupture15
I715	Thoracoabdominal aortic aneurysm, ruptured1
I716	Thoracoabdominal aortic aneurysm, without mention of rupture4
I718	Aortic aneurysm of unspecified site, ruptured13
I719	Aortic aneurysm of unspecified site, without mention of rupture9
I72	Other aneurysm-
I720	Aneurysm of carotid artery1
I722	Aneurysm of renal artery1
I723	Aneurysm of iliac artery8
I728	Aneurysm of other specified arteries2
I729	Aneurysm of unspecified site3
I73	Other peripheral vascular diseases-
I739	Peripheral vascular disease, unspecified47
I74	Arterial embolism and thrombosis-
I741	Embolism and thrombosis of other and unspecified parts of aorta2
I743	Embolism and thrombosis of arteries of the lower extremities1
I748	Embolism and thrombosis of other arteries1
I749	Embolism and thrombosis of unspecified artery2
I77	Other disorders of arteries and arterioles-
I772	Rupture of artery2
I776	Arteritis, unspecified5
I778	Other specified disorders of arteries and arterioles1
I779	Disorder of arteries and arterioles, unspecified3
I78	Diseases of capillaries-
I781	Naevus, nonneoplastic1
I80	Phlebitis and thrombophlebitis-
I801	Phlebitis and thrombophlebitis of femoral vein1
I802	Phlebitis and thrombophlebitis of other deep vessels of lower extremities169
I803	Phlebitis and thrombophlebitis of lower extremities, unspecified2
I81	Portal vein thrombosis6
I82	Other venous embolism and thrombosis-
I820	Budd-Chiari syndrome1
I822	Embolism and thrombosis of vena cava2
I828	Embolism and thrombosis of other specified veins1
I829	Embolism and thrombosis of unspecified vein1
I83	Varicose veins of lower extremities-
I830	Varicose veins of lower extremities with ulcer2
I831	Varicose veins of lower extremities with inflammation2
I839	Varicose veins of lower extremities without ulcer or inflammation7
I85	Oesophageal varices-
I850	Oesophageal varices with bleeding6
I87	Other disorders of veins-
I872	Venous insufficiency (chronic) (peripheral)1
I89	Other non-infective disorders of lymphatic vessels and lymph nodes-
I891	Lymphangitis1
J09	Influenza due to certain identified influenza virus5
J10	Influenza due to identified influenza virus-
J100	Influenza with pneumonia, influenza virus identified14
J101	Influenza with other respiratory manifestations, influenza virus identified8
J108	Influenza with other manifestations, influenza virus identified1
J11	Influenza, virus not identified-
J110	Influenza with pneumonia, virus not identified13
J111	Influenza with other respiratory manifestations, virus not identified7
J118	Influenza with other manifestations, virus not identified1
J12	Viral pneumonia, not elsewhere classified-
J121	Respiratory syncytial virus pneumonia1
J123	Human metapneumovirus pneumonia1
J129	Viral pneumonia, unspecified4
J13	Pneumonia due to Streptococcus pneumoniae8
J15	Bacterial pneumonia, not elsewhere classified-
J151	Pneumonia due to Pseudomonas1
J152	Pneumonia due to staphylococcus1
J154	Pneumonia due to other streptococci1
J18	Pneumonia, organism unspecified-
J180	Bronchopneumonia, unspecified168
J181	Lobar pneumonia, unspecified33
J182	Hypostatic pneumonia, unspecified1
J189	Pneumonia, unspecified276
J20	Acute bronchitis-
J209	Acute bronchitis, unspecified1
J21	Acute bronchiolitis-
J219	Acute bronchiolitis, unspecified1
J22	Unspecified acute lower respiratory infection49
J39	Other diseases of upper respiratory tract-
J390	Retropharyngeal and parapharyngeal abscess1
J40	Bronchitis, not specified as acute or chronic2
J42	Unspecified chronic bronchitis2
J43	Emphysema-
J438	Other emphysema1
J439	Emphysema, unspecified47
J44	Other chronic obstructive pulmonary disease-
J440	Chronic obstructive pulmonary disease with acute lower respiratory infection353
J441	Chronic obstructive pulmonary disease with acute exacerbation, unspecified138
J448	Other specified chronic obstructive pulmonary disease7
J449	Chronic obstructive pulmonary disease, unspecified321
J45	Asthma-
J459	Asthma, unspecified40
J47	Bronchiectasis101
J60	Coalworker's pneumoconiosis3
J61	Pneumoconiosis due to asbestos and other mineral fibres7
J62	Pneumoconiosis due to dust containing silica-
J628	Pneumoconiosis due to other dust containing silica1
J67	Hypersensitivity pneumonitis due to organic dust-
J672	Bird fancier's lung1
J679	Hypersensitivity pneumonitis due to unspecified organic dust14
J69	Pneumonitis due to solids and liquids-
J690	Pneumonitis due to food and vomit32
J691	Pneumonitis due to oils and essences1
J70	Respiratory conditions due to other external agents-
J700	Acute pulmonary manifestations due to radiation1
J701	Chronic and other pulmonary manifestations due to radiation1
J80	Adult respiratory distress syndrome5
J81	Pulmonary oedema2
J82	Pulmonary eosinophilia, not elsewhere classified1
J84	Other interstitial pulmonary diseases-
J840	Alveolar and parietoalveolar conditions8
J841	Other interstitial pulmonary diseases with fibrosis391
J849	Interstitial pulmonary disease, unspecified101
J85	Abscess of lung and mediastinum-
J851	Abscess of lung with pneumonia3
J86	Pyothorax-
J869	Pyothorax without fistula6
J90	Pleural effusion, not elsewhere classified1
J92	Pleural plaque-
J920	Pleural plaque with presence of asbestos1
J93	Pneumothorax-
J939	Pneumothorax, unspecified1
J94	Other pleural conditions-
J941	Fibrothorax1
J942	Haemothorax2
J96	Respiratory failure, not elsewhere classified-
J969	Respiratory failure, unspecified1
J98	Other respiratory disorders-
J984	Other disorders of lung9
J988	Other specified respiratory disorders22
J989	Respiratory disorder, unspecified1
K20	Oesophagitis2
K22	Other diseases of oesophagus-
K220	Achalasia of cardia1
K221	Ulcer of oesophagus4
K222	Oesophageal obstruction3
K223	Perforation of oesophagus9
K224	Dyskinesia of oesophagus2
K226	Gastro-oesophageal laceration-haemorrhage syndrome2
K227	Barrett's oesophagus1
K228	Other specified diseases of oesophagus1
K25	Gastric ulcer-
K250	Acute with haemorrhage1
K254	Chronic or unspecified with haemorrhage12
K255	Chronic or unspecified with perforation5
K256	Chronic or unspecified with both haemorrhage and perforation1
K26	Duodenal ulcer-
K264	Chronic or unspecified with haemorrhage29
K265	Chronic or unspecified with perforation15
K266	Chronic or unspecified with both haemorrhage and perforation3
K27	Peptic ulcer, site unspecified-
K274	Chronic or unspecified with haemorrhage11
K275	Chronic or unspecified with perforation1
K279	Unspecified as acute or chronic, without haemorrhage or perforation1
K28	Gastrojejunal ulcer-
K284	Chronic or unspecified with haemorrhage1
K29	Gastritis and duodenitis-
K290	Acute haemorrhagic gastritis2
K291	Other acute gastritis1
K296	Other gastritis2
K297	Gastritis, unspecified4
K31	Other diseases of stomach and duodenum-
K315	Obstruction of duodenum1
K318	Other specified diseases of stomach and duodenum2
K319	Disease of stomach and duodenum, unspecified1
K35	Acute appendicitis-
K351	Acute appendicitis with peritoneal abscess2
K352	Acute appendicitis with generalized peritonitis1
K37	Unspecified appendicitis3
K40	Inguinal hernia-
K403	Unilateral or unspecified inguinal hernia, with obstruction, without gangrene1
K409	Unilateral or unspecified inguinal hernia, without obstruction or gangrene1
K41	Femoral hernia-
K410	Bilateral femoral hernia, with obstruction, without gangrene1
K413	Unilateral or unspecified femoral hernia, with obstruction, without gangrene2
K42	Umbilical hernia-
K420	Umbilical hernia with obstruction, without gangrene2
K43	Ventral hernia-
K433	Parastomal hernia with obstruction, without gangrene3
K435	Parastomal hernia without obstruction or gangrene1
K439	Ventral hernia without obstruction or gangrene1
K44	Diaphragmatic hernia-
K440	Diaphragmatic hernia with obstruction, without gangrene1
K441	Diaphragmatic hernia with gangrene2
K449	Diaphragmatic hernia without obstruction or gangrene3
K46	Unspecified abdominal hernia-
K460	Unspecified abdominal hernia with obstruction, without gangrene3
K469	Unspecified abdominal hernia without obstruction or gangrene3
K50	Crohn's disease [regional enteritis]-
K501	Crohn's disease of large intestine1
K509	Crohn's disease, unspecified16
K51	Ulcerative colitis-
K510	Ulcerative (chronic) enterocolitis1
K519	Ulcerative colitis, unspecified10
K52	Other non-infective gastro-enteritis and colitis-
K529	Non-infective gastro-enteritis and colitis, unspecified6
K55	Vascular disorders of intestine-
K550	Acute vascular disorders of intestine41
K551	Chronic vascular disorders of intestine10
K552	Angiodysplasia of colon2
K559	Vascular disorder of intestine, unspecified74
K56	Paralytic ileus and intestinal obstruction without hernia-
K560	Paralytic ileus1
K562	Volvulus18
K564	Other impaction of intestine1
K565	Intestinal adhesions [bands] with obstruction3
K566	Other and unspecified intestinal obstruction30
K567	Ileus, unspecified1
K57	Diverticular disease of intestine-
K572	Diverticular disease of large intestine with perforation and abscess5
K573	Diverticular disease of large intestine without perforation or abscess1
K578	Diverticular disease of intestine, part unspecified, with perforation and abscess32
K579	Diverticular disease of intestine, part unspecified, without perforation or abscess12
K59	Other functional intestinal disorders-
K593	Megacolon, not elsewhere classified1
K61	Abscess of anal and rectal regions-
K610	Anal abscess1
K613	Ischiorectal abscess1
K62	Other diseases of anus and rectum-
K624	Stenosis of anus and rectum1
K63	Other diseases of intestine-
K631	Perforation of intestine (nontraumatic)27
K632	Fistula of intestine2
K639	Disease of intestine, unspecified3
K65	Peritonitis-
K650	Acute peritonitis10
K658	Other peritonitis1
K659	Peritonitis, unspecified7
K66	Other disorders of peritoneum-
K660	Peritoneal adhesions3
K661	Haemoperitoneum1
K70	Alcoholic liver disease-
K700	Alcoholic fatty liver9
K701	Alcoholic hepatitis17
K703	Alcoholic cirrhosis of liver70
K704	Alcoholic hepatic failure67
K709	Alcoholic liver disease, unspecified94
K71	Toxic liver disease-
K711	Toxic liver disease with hepatic necrosis1
K72	Hepatic failure, not elsewhere classified-
K720	Acute and subacute hepatic failure2
K729	Hepatic failure, unspecified21
K74	Fibrosis and cirrhosis of liver-
K740	Hepatic fibrosis1
K743	Primary biliary cirrhosis9
K746	Other and unspecified cirrhosis of liver101
K75	Other inflammatory liver diseases-
K750	Abscess of liver3
K751	Phlebitis of portal vein1
K754	Autoimmune hepatitis11
K758	Other specified inflammatory liver diseases19
K76	Other diseases of liver-
K760	Fatty (change of) liver, not elsewhere classified33
K765	Hepatic veno-occlusive disease1
K768	Other specified diseases of liver1
K769	Liver disease, unspecified16
K80	Cholelithiasis-
K800	Calculus of gallbladder with acute cholecystitis1
K801	Calculus of gallbladder with other cholecystitis2
K802	Calculus of gallbladder without cholecystitis24
K803	Calculus of bile duct with cholangitis1
K805	Calculus of bile duct without cholangitis or cholecystitis5
K81	Cholecystitis-
K810	Acute cholecystitis7
K819	Cholecystitis, unspecified6
K82	Other diseases of gallbladder-
K822	Perforation of gallbladder2
K829	Disease of gallbladder, unspecified1
K83	Other diseases of biliary tract-
K830	Cholangitis35
K831	Obstruction of bile duct1
K85	Acute pancreatitis-
K851	Biliary acute pancreatitis3
K852	Alcohol-induced acute pancreatitis3
K859	Acute pancreatitis, unspecified66
K86	Other diseases of pancreas-
K860	Alcohol-induced chronic pancreatitis1
K861	Other chronic pancreatitis5
K869	Disease of pancreas, unspecified2
K90	Intestinal malabsorption-
K900	Coeliac disease4
K902	Blind loop syndrome, not elsewhere classified2
K92	Other diseases of digestive system-
K920	Haematemesis1
K922	Gastro-intestinal haemorrhage, unspecified29
K929	Disease of digestive system, unspecified1
L03	Cellulitis-
L031	Cellulitis of other parts of limb9
L033	Cellulitis of trunk1
L039	Cellulitis, unspecified16
L08	Other local infections of skin and subcutaneous tissue-
L089	Local infection of skin and subcutaneous tissue, unspecified5
L12	Pemphigoid-
L120	Bullous pemphigoid2
L51	Erythema multiforme-
L511	Bullous erythema multiforme1
L512	Toxic epidermal necrolysis [Lyell]3
L53	Other erythematous conditions-
L539	Erythematous condition, unspecified1
L88	Pyoderma gangrenosum2
L89	Decubitus ulcer-
L899	Decubitus ulcer and pressure area, unspecified1
L92	Granulomatous disorders of skin and subcutaneous tissue-
L929	Granulomatous disorder of skin and subcutaneous tissue, unspecified1
L97	Ulcer of lower limb, not elsewhere classified7
L98	Other disorders of skin and subcutaneous tissue, not elsewhere classified-
L984	Chronic ulcer of skin, not elsewhere classified2
M00	Pyogenic arthritis-
M009	Pyogenic arthritis, unspecified5
M05	Seropositive rheumatoid arthritis-
M051	Rheumatoid lung disease3
M053	Rheumatoid arthritis with involvement of other organs and systems2
M06	Other rheumatoid arthritis-
M061	Adult-onset Still's disease1
M069	Rheumatoid arthritis, unspecified39
M16	Coxarthrosis [arthrosis of hip]-
M169	Coxarthrosis, unspecified1
M19	Other arthrosis-
M199	Arthrosis, unspecified1
M25	Other joint disorders, not elsewhere classified-
M259	Joint disorder, unspecified12
M30	Polyarteritis nodosa and related conditions-
M301	Polyarteritis with lung involvement [Churg-Strauss]2
M31	Other necrotising vasculopathies-
M310	Hypersensitivity angiitis1
M313	Wegener's granulomatosis8
M316	Other giant cell arteritis1
M317	Microscopic polyangiitis1
M32	Systemic lupus erythematosus-
M321	Systemic lupus erythematosus with organ or system involvement4
M329	Systemic lupus erythematosus, unspecified3
M33	Dermatopolymyositis-
M331	Other dermatomyositis1
M34	Systemic sclerosis-
M348	Other forms of systemic sclerosis15
M349	Systemic sclerosis, unspecified2
M35	Other systemic involvement of connective tissue-
M350	Sicca syndrome [Sjogren]5
M351	Other overlap syndromes1
M358	Other specified systemic involvement of connective tissue2
M359	Systemic involvement of connective tissue, unspecified10
M40	Kyphosis and lordosis-
M402	Other and unspecified kyphosis1
M41	Scoliosis-
M419	Scoliosis, unspecified3
M43	Other deforming dorsopathies-
M431	Spondylolisthesis1
M45	Ankylosing spondylitis3
M46	Other inflammatory spondylopathies-
M462	Osteomyelitis of vertebra2
M464	Discitis, unspecified4
M48	Other spondylopathies-
M480	Spinal stenosis1
M489	Spondylopathy, unspecified1
M60	Myositis-
M600	Infective myositis3
M609	Myositis, unspecified1
M62	Other disorders of muscle-
M622	Ischaemic infarction of muscle2
M628	Other specified disorders of muscle1
M72	Fibroblastic disorders-
M725	Fasciitis, not elsewhere classified1
M726	Necrotizing fasciitis9
M80	Osteoporosis with pathological fracture-
M809	Unspecified osteoporosis with pathological fracture5
M81	Osteoporosis without pathological fracture-
M819	Osteoporosis, unspecified2
M84	Disorders of continuity of bone-
M844	Pathological fracture, not elsewhere classified1
M85	Other disorders of bone density and structure-
M858	Other specified disorders of bone density and structure1
M86	Osteomyelitis-
M866	Other chronic osteomyelitis3
M869	Osteomyelitis, unspecified10
N00	Acute nephritic syndrome-
N009	Unspecified1
N02	Recurrent and persistent haematuria-
N028	Other5
N03	Chronic nephritic syndrome-
N039	Unspecified2
N04	Nephrotic syndrome-
N049	Unspecified2
N05	Unspecified nephritic syndrome-
N052	Diffuse membranous glomerulonephritis1
N055	Diffuse mesangiocapillary glomerulonephritis2
N057	Diffuse crescentic glomerulonephritis1
N059	Unspecified1
N10	Acute tubulo-interstitial nephritis6
N12	Tubulo-interstitial nephritis, not specified as acute or chronic5
N13	Obstructive and reflux uropathy-
N133	Other and unspecified hydronephrosis2
N15	Other renal tubulo-interstitial diseases-
N151	Renal and perinephric abscess1
N17	Acute renal failure-
N179	Acute renal failure, unspecified9
N18	Chronic renal failure-
N180	End-stage renal disease2
N183	Chronic kidney disease, stage 31
N185	Chronic kidney disease, stage 517
N189	Chronic renal failure, unspecified18
N19	Unspecified renal failure5
N20	Calculus of kidney and ureter-
N200	Calculus of kidney2
N201	Calculus of ureter1
N25	Disorders resulting from impaired renal tubular function-
N251	Nephrogenic diabetes insipidus1
N26	Unspecified contracted kidney1
N28	Other disorders of kidney and ureter, not elsewhere classified-
N281	Cyst of kidney, acquired2
N289	Disorder of kidney and ureter, unspecified5
N30	Cystitis-
N300	Acute cystitis1
N304	Irradiation cystitis1
N308	Other cystitis1
N309	Cystitis, unspecified1
N31	Neuromuscular dysfunction of bladder, not elsewhere classified-
N319	Neuromuscular dysfunction of bladder, unspecified2
N32	Other disorders of bladder-
N321	Vesicointestinal fistula5
N329	Bladder disorder, unspecified1
N39	Other disorders of urinary system-
N390	Urinary tract infection, site not specified88
N40	Hyperplasia of prostate2
N49	Inflammatory disorders of male genital organs, not elsewhere classified-
N498	Inflammatory disorders of other specified male genital organs1
N50	Other disorders of male genital organs-
N501	Vascular disorders of male genital organs1
N61	Inflammatory disorders of breast1
N73	Other female pelvic inflammatory diseases-
N735	Female pelvic peritonitis, unspecified1
N739	Female pelvic inflammatory disease, unspecified1
N83	Noninflammatory disorders of ovary, Fallopian tube and broad ligament-
N832	Other and unspecified ovarian cysts1
N93	Other abnormal uterine and vaginal bleeding-
N939	Abnormal uterine and vaginal bleeding, unspecified1
O30	Multiple gestation-
O300	Twin pregnancy1
Q04	Other congenital malformations of brain-
Q049	Congenital malformation of brain, unspecified1
Q07	Other congenital malformations of nervous system-
Q070	Arnold-Chiari syndrome1
Q21	Congenital malformations of cardiac septa-
Q210	Ventricular septal defect2
Q211	Atrial septal defect3
Q213	Tetralogy of Fallot1
Q22	Congenital malformations of pulmonary and tricuspid valves-
Q228	Other congenital malformations of tricuspid valve1
Q23	Congenital malformations of aortic and mitral valves-
Q231	Congenital insufficiency of aortic valve3
Q24	Other congenital malformations of heart-
Q245	Malformation of coronary vessels1
Q249	Congenital malformation of the heart, unspecified7
Q25	Congenital malformations of great arteries-
Q251	Coarctation of aorta1
Q27	Other congenital malformations of peripheral vascular system-
Q273	Peripheral arteriovenous malformation1
Q28	Other congenital malformations of circulatory system-
Q283	Other malformations of cerebral vessels1
Q44	Congenital malformations of gallbladder, bile ducts and liver-
Q446	Cystic disease of liver2
Q61	Cystic kidney disease-
Q612	Polycystic kidney, adult type3
Q613	Polycystic kidney, unspecified4
Q615	Medullary cystic kidney1
Q76	Congenital malformations of spine and bony thorax-
Q761	Klippel-Feil syndrome1
Q79	Congenital malformations of musculoskeletal system, not elsewhere classified-
Q796	Ehlers-Danlos syndrome1
Q85	Phakomatoses, not elsewhere classified-
Q850	Neurofibromatosis (nonmalignant)1
Q858	Other phakomatoses, not elsewhere classified1
Q87	Other specified congenital malformation syndromes affecting multiple systems-
Q871	Congenital malformation syndromes predominantly associated with short stature1
Q874	Marfan's syndrome6
Q875	Other congenital malformation syndromes with other skeletal changes1
Q878	Other specified congenital malformation syndromes, not elsewhere classified1
Q90	Down's syndrome-
Q909	Down's syndrome, unspecified2
R09	Other symptoms and signs involving the circulatory and respiratory systems-
R092	Respiratory arrest1
R47	Speech disturbances, not elsewhere classified-
R470	Dysphasia and aphasia1
R54	Senility3
R58	Haemorrhage, not elsewhere classified2
R68	Other general symptoms and signs-
R680	Hypothermia, not associated with low environmental temperature1
R688	Other specified general symptoms and signs4
R96	Other sudden death, cause unknown-
R960	Instantaneous death3
R99	Other ill-defined and unspecified causes of mortality122
V03	Pedestrian injured in collision with car, pick-up truck or van-
V030	Nontraffic accident1
V031	Traffic accident3
V04	Pedestrian injured in collision with heavy transport vehicle or bus-
V041	Traffic accident2
V05	Pedestrian injured in collision with railway train or railway vehicle-
V059	Unspecified whether traffic or nontraffic accident1
V09	Pedestrian injured in other and unspecified transport accidents-
V092	Pedestrian injured in traffic accident involving other and unspecified motor vehicles2
V093	Pedestrian injured in unspecified traffic accident5
V13	Pedal cyclist injured in collision with car, pick-up truck or van-
V134	Driver injured in traffic accident2
V14	Pedal cyclist injured in collision with heavy transport vehicle or bus-
V140	Driver injured in nontraffic accident1
V144	Driver injured in traffic accident1
V17	Pedal cyclist injured in collision with fixed or stationary object-
V174	Driver injured in traffic accident1
V18	Pedal cyclist injured in noncollision transport accident-
V180	Driver injured in nontraffic accident1
V184	Driver injured in traffic accident5
V19	Pedal cyclist injured in other and unspecified transport accidents-
V193	Pedal cyclist [any] injured in an unspecified nontraffic accident1
V194	Driver injured in collision with other and unspecified motor vehicles in traffic accident2
V199	Pedal cyclist [any] injured in unspecified traffic accident4
V20	Motorcycle rider injured in collision with pedestrian or animal-
V204	Driver injured in traffic accident1
V23	Motorcycle rider injured in collision with car, pick-up truck or van-
V234	Driver injured in traffic accident1
V27	Motorcycle rider injured in collision with fixed or stationary object-
V274	Driver injured in traffic accident1
V28	Motorcycle rider injured in noncollision transport accident-
V284	Driver injured in traffic accident1
V29	Motorcycle rider injured in other and unspecified transport accidents-
V294	Driver injured in collision with other and unspecified motor vehicles in traffic accident3
V295	Passenger injured in collision with other and unspecified motor vehicles in traffic accident1
V299	Motorcycle rider [any] injured in unspecified traffic accident3
V42	Car occupant injured in collision with two- or three-wheeled motor vehicle-
V425	Driver injured in traffic accident1
V43	Car occupant injured in collision with car, pick-up truck or van-
V435	Driver injured in traffic accident2
V436	Passenger injured in traffic accident3
V44	Car occupant injured in collision with heavy transport vehicle or bus-
V445	Driver injured in traffic accident3
V446	Passenger injured in traffic accident1
V47	Car occupant injured in collision with fixed or stationary object-
V475	Driver injured in traffic accident1
V476	Passenger injured in traffic accident2
V48	Car occupant injured in noncollision transport accident-
V484	Person injured while boarding or alighting1
V485	Driver injured in traffic accident2
V49	Car occupant injured in other and unspecified transport accidents-
V495	Passenger injured in collision with other and unspecified motor vehicles in traffic accident2
V498	Car occupant [any] injured in other specified transport accidents1
V499	Car occupant [any] injured in unspecified traffic accident17
V80	Animal-rider or occupant of animal-drawn vehicle injured in transport accident-
V800	Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident2
V89	Motor- or nonmotor-vehicle accident, type of vehicle unspecified-
V892	Person injured in unspecified motor-vehicle accident, traffic8
V92	Water-transport-related drowning and submersion without accident to watercraft-
V929	Unspecified watercraft1
V93	Accident on board watercraft without accident to watercraft, not causing drowning and submersion-
V931	Passenger ship1
V95	Accident to powered aircraft causing injury to occupant-
V950	Helicopter accident injuring occupant1
V951	Ultralight, microlight or powered-glider accident injuring occupant1
V952	Accident to other private fixed-wing aircraft, injuring occupant1
V958	Other aircraft accidents injuring occupant1
V97	Other specified air transport accidents-
V973	Person on ground injured in air transport accident1
W00	Fall on same level involving ice and snow-
W004	Street and highway2
W01	Fall on same level from slipping, tripping and stumbling-
W010	Home4
W05	Fall involving wheelchair-
W058	Other specified place1
W06	Fall involving bed-
W060	Home1
W061	Residential institution1
W062	School, other institution and public administrative area3
W069	Unspecified place1
W07	Fall involving chair-
W071	Residential institution1
W08	Fall involving other furniture-
W080	Home1
W10	Fall on and from stairs and steps-
W100	Home35
W101	Residential institution1
W103	Sports and athletics area1
W105	Trade and service area2
W108	Other specified place2
W109	Unspecified place5
W11	Fall on and from ladder-
W110	Home6
W116	Industrial and construction area1
W119	Unspecified place1
W13	Fall from, out of or through building or structure-
W130	Home5
W138	Other specified place1
W15	Fall from cliff-
W158	Other specified place1
W17	Other fall from one level to another-
W176	Industrial and construction area1
W19	Unspecified fall-
W190	Home69
W191	Residential institution9
W192	School, other institution and public administrative area9
W193	Sports and athletics area1
W194	Street and highway12
W195	Trade and service area2
W198	Other specified place4
W199	Unspecified place12
W20	Struck by thrown, projected or falling object-
W200	Home1
W208	Other specified place1
W22	Striking against or struck by other objects-
W220	Home2
W228	Other specified place1
W55	Bitten or struck by other mammals-
W557	Farm1
W65	Drowning and submersion while in bath-tub-
W650	Home2
W67	Drowning and submersion while in swimming-pool-
W678	Other specified place1
W70	Drowning and submersion following fall into natural water-
W708	Other specified place2
W74	Unspecified drowning and submersion-
W748	Other specified place2
W76	Other accidental hanging and strangulation-
W760	Home6
W767	Farm1
W768	Other specified place1
W769	Unspecified place1
W78	Inhalation of gastric contents-
W789	Unspecified place1
W79	Inhalation and ingestion of food causing obstruction of respiratory tract-
W790	Home4
W795	Trade and service area1
W80	Inhalation and ingestion of other objects causing obstruction of respiratory tract-
W801	Residential institution1
W84	Unspecified threat to breathing-
W849	Unspecified place2
W87	Exposure to unspecified electric current-
W870	Home1
W94	Exposure to high and low air pressure and changes in air pressure-
W948	Other specified place1
X00	Exposure to uncontrolled fire in building or structure-
X000	Home2
X04	Exposure to ignition of highly flammable material-
X040	Home1
X08	Exposure to other specified smoke, fire and flames-
X080	Home1
X11	Contact with hot tap-water-

X16	Contact with hot heating appliances, radiators and pipes-
X160	Home1
X23	Contact with hornets, wasps and bees-
X239	Unspecified place1
X31	Exposure to excessive natural cold-
X310	Home2
X317	Farm1
X319	Unspecified place1
X40	Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics-
X400	Home1
X409	Unspecified place1
X41	Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, anti-Parkinsonism and psychotropic drugs, not elsewhere classified-
X410	Home7
X418	Other specified place1
X42	Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified-
X420	Home19
X425	Trade and service area1
X44	Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances-
X440	Home4
X448	Other specified place1
X449	Unspecified place1
X45	Accidental poisoning by and exposure to alcohol-
X450	Home17
X458	Other specified place1
X47	Accidental poisoning by and exposure to other gases and vapours-
X478	Other specified place1
X49	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances-

X59	Exposure to unspecified factor-
X590	Home22
X599	Unspecified place27
X60	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics-
X609	Unspecified place4
X61	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, anti-Parkinsonism and psychotropic drugs, not elsewhere classified-
X610	Home6
X619	Unspecified place2
X62	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified-
X620	Home7
X628	Other specified place1
X63	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system-
X630	Home1
X64	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances-
X640	Home6
X648	Other specified place1
X649	Unspecified place4
X67	Intentional self-poisoning by and exposure to other gases and vapours-
X670	Home8
X673	Sports and athletics area1
X674	Street and highway1
X678	Other specified place2
X69	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances-
X699	Unspecified place1
X70	Intentional self-harm by hanging, strangulation and suffocation-
X700	Home107
X702	School, other institution and public administrative area1
X708	Other specified place16
X709	Unspecified place4
X71	Intentional self-harm by drowning and submersion-
X710	Home2
X712	School, other institution and public administrative area1
X713	Sports and athletics area1
X718	Other specified place5
X719	Unspecified place3
X73	Intentional self-harm by rifle, shotgun and larger firearm discharge-
X730	Home2
X74	Intentional self-harm by other and unspecified firearm discharge-
X740	Home1
